timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629443786195,2671,HTTP Request,200,OK,Thread Group 1-40,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,4,0,2
1629443786195,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-40,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,4,0,2
1629443786200,2666,HTTP Request-1,200,OK,Thread Group 1-40,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1461,0,1227
1629443786549,2702,HTTP Request,200,OK,Thread Group 1-60,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,32,0,3
1629443786549,32,HTTP Request-0,301,Moved Permanently,Thread Group 1-60,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,32,0,3
1629443786582,2669,HTTP Request-1,200,OK,Thread Group 1-60,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1071,0,844
1629443785754,3511,HTTP Request,200,OK,Thread Group 1-14,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,6,0,4
1629443785754,6,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,6,0,4
1629443785761,3504,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1891,0,1662
1629443786321,2985,HTTP Request,200,OK,Thread Group 1-43,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,5,0,1
1629443786321,5,HTTP Request-0,301,Moved Permanently,Thread Group 1-43,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,5,0,1
1629443786327,2979,HTTP Request-1,200,OK,Thread Group 1-43,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1362,0,1096
1629443786179,3116,HTTP Request,200,OK,Thread Group 1-39,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,3,0,2
1629443786179,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-39,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,3,0,2
1629443786182,3113,HTTP Request-1,200,OK,Thread Group 1-39,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1499,0,1246
1629443785905,3395,HTTP Request,200,OK,Thread Group 1-23,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,3,0,1
1629443785905,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-23,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,3,0,1
1629443785909,3391,HTTP Request-1,200,OK,Thread Group 1-23,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1748,0,1511
1629443786466,2749,HTTP Request,200,OK,Thread Group 1-56,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,4,0,1
1629443786466,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-56,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,4,0,1
1629443786470,2745,HTTP Request-1,200,OK,Thread Group 1-56,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1202,0,960
1629443786337,2966,HTTP Request,200,OK,Thread Group 1-47,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,2,0,1
1629443786337,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-47,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,2,0,1
1629443786340,2963,HTTP Request-1,200,OK,Thread Group 1-47,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1345,0,1082
1629443785923,3417,HTTP Request,200,OK,Thread Group 1-24,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,2,0,1
1629443785923,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-24,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,2,0,1
1629443785932,3408,HTTP Request-1,200,OK,Thread Group 1-24,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1712,0,1486
1629443786144,3124,HTTP Request,200,OK,Thread Group 1-37,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,2,0,1
1629443786144,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-37,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,2,0,1
1629443786146,3122,HTTP Request-1,200,OK,Thread Group 1-37,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1530,0,1279
1629443786508,2837,HTTP Request,200,OK,Thread Group 1-58,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,18,0,16
1629443785855,3493,HTTP Request,200,OK,Thread Group 1-20,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,3,0,1
1629443785855,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,3,0,1
1629443785858,3490,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1835,0,1569
1629443785697,3659,HTTP Request,200,OK,Thread Group 1-7,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,41,0,29
1629443785697,53,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,41,0,29
1629443785751,3605,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1941,0,1673
1629443786229,3028,HTTP Request,200,OK,Thread Group 1-42,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,2,0,1
1629443786229,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-42,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,2,0,1
1629443786232,3025,HTTP Request-1,200,OK,Thread Group 1-42,text,true,,1926038,138,60,60,https://test.bestviewsreviews.com:443/all/,1410,0,1194
1629443785696,3582,HTTP Request,200,OK,Thread Group 1-10,text,true,,1926387,272,60,60,https://test.bestviewsreviews.com:443/all/,42,0,30
1629443785696,51,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,349,134,60,60,http://test.bestviewsreviews.com/all/,42,0,30
