timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629444511116,3107,HTTP Request,200,OK,Thread Group 1-32,text,true,,97862,274,60,60,https://test.bestviewsreviews.com:443/blog/,45,0,16
1629444511116,45,HTTP Request-0,301,Moved Permanently,Thread Group 1-32,text,true,,350,135,60,60,http://test.bestviewsreviews.com/blog/,45,0,16
1629444511162,3061,HTTP Request-1,200,OK,Thread Group 1-32,text,true,,97512,139,60,60,https://test.bestviewsreviews.com:443/blog/,3052,0,1229
1629444510736,3530,HTTP Request,200,OK,Thread Group 1-9,text,true,,97862,274,60,60,https://test.bestviewsreviews.com:443/blog/,36,0,26
1629444510736,39,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,350,135,60,60,http://test.bestviewsreviews.com/blog/,36,0,26
1629444510777,3489,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,97512,139,60,60,https://test.bestviewsreviews.com:443/blog/,3479,0,1619
1629444511392,2959,HTTP Request,200,OK,Thread Group 1-43,text,true,,97862,274,60,60,https://test.bestviewsreviews.com:443/blog/,92,0,88
1629444511392,92,HTTP Request-0,301,Moved Permanently,Thread Group 1-43,text,true,,350,135,60,60,http://test.bestviewsreviews.com/blog/,92,0,88
1629444511484,2867,HTTP Request-1,200,OK,Thread Group 1-43,text,true,,97512,139,60,60,https://test.bestviewsreviews.com:443/blog/,2858,0,921
1629444511109,3341,HTTP Request,200,OK,Thread Group 1-31,text,true,,97862,274,60,60,https://test.bestviewsreviews.com:443/blog/,19,0,15
1629444511109,19,HTTP Request-0,301,Moved Permanently,Thread Group 1-31,text,true,,350,135,60,60,http://test.bestviewsreviews.com/blog/,19,0,15
1629444511129,3321,HTTP Request-1,200,OK,Thread Group 1-31,text,true,,97512,139,60,60,https://test.bestviewsreviews.com:443/blog/,3318,0,1258
1629444510729,3732,HTTP Request,200,OK,Thread Group 1-1,text,true,,97862,274,60,60,https://test.bestviewsreviews.com:443/blog/,55,0,34
1629444510729,55,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,350,135,60,60,http://test.bestviewsreviews.com/blog/,55,0,34
