timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629441025846,1870,HTTP Request,200,OK,Thread Group 1-25,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629441025846,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-25,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,3,0,2
1629441025849,1867,HTTP Request-1,200,OK,Thread Group 1-25,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,909,0,709
1629441025894,1842,HTTP Request,200,OK,Thread Group 1-27,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629441025894,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-27,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,3,0,2
1629441025898,1838,HTTP Request-1,200,OK,Thread Group 1-27,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,771,0,648
1629441026018,1629,HTTP Request,200,OK,Thread Group 1-32,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629441026018,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-32,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,3,0,2
1629441026022,1625,HTTP Request-1,200,OK,Thread Group 1-32,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,630,0,525
1629441025620,2105,HTTP Request,200,OK,Thread Group 1-16,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629441025620,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,3,0,2
1629441025624,2101,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,976,0,929
1629441025396,2279,HTTP Request,200,OK,Thread Group 1-7,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,46,0,34
1629441025396,48,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,46,0,34
1629441025446,2229,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,1161,0,1097
1629441026101,1621,HTTP Request,200,OK,Thread Group 1-34,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,11,0,2
1629441026101,11,HTTP Request-0,301,Moved Permanently,Thread Group 1-34,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,11,0,2
1629441026113,1609,HTTP Request-1,200,OK,Thread Group 1-34,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,574,0,431
1629441025993,1832,HTTP Request,200,OK,Thread Group 1-31,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,3,0,1
1629441025993,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-31,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,3,0,1
1629441025996,1829,HTTP Request-1,200,OK,Thread Group 1-31,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,645,0,546
1629441025396,2425,HTTP Request,200,OK,Thread Group 1-4,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,49,0,36
1629441025396,49,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,49,0,36
1629441025450,2371,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,1166,0,1097
1629441025869,1878,HTTP Request,200,OK,Thread Group 1-26,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,2,0,1
1629441025869,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-26,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,2,0,1
1629441025872,1875,HTTP Request-1,200,OK,Thread Group 1-26,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,806,0,680
1629441026195,1607,HTTP Request,200,OK,Thread Group 1-39,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,2,0,1
1629441025570,2209,HTTP Request,200,OK,Thread Group 1-14,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629441026195,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-39,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,2,0,1
1629441025570,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,3,0,2
1629441026198,1604,HTTP Request-1,200,OK,Thread Group 1-39,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,544,0,347
1629441025573,2206,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,1060,0,984
1629441025545,2328,HTTP Request,200,OK,Thread Group 1-13,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629441025398,2273,HTTP Request,200,OK,Thread Group 1-1,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,41,0,31
1629441025398,45,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,41,0,31
1629441025457,2214,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,1304,0,1094
1629441025774,1947,HTTP Request,200,OK,Thread Group 1-22,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,28,0,14
1629441025774,28,HTTP Request-0,301,Moved Permanently,Thread Group 1-22,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,28,0,14
1629441025803,1918,HTTP Request-1,200,OK,Thread Group 1-22,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,795,0,742
1629441026135,1658,HTTP Request,200,OK,Thread Group 1-36,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,2,0,1
1629441026135,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-36,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,2,0,1
1629441026138,1655,HTTP Request-1,200,OK,Thread Group 1-36,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,592,0,410
1629441025545,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,3,0,2
1629441025549,2324,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,1169,0,1011
1629441025919,1887,HTTP Request,200,OK,Thread Group 1-28,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,21,0,1
1629441025919,21,HTTP Request-0,301,Moved Permanently,Thread Group 1-28,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,21,0,1
1629441025941,1865,HTTP Request-1,200,OK,Thread Group 1-28,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,780,0,609
1629441026176,1614,HTTP Request,200,OK,Thread Group 1-38,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629441026176,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-38,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,3,0,2
1629441025396,2377,HTTP Request,200,OK,Thread Group 1-5,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,45,0,34
1629441025396,49,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,45,0,34
1629441025446,2327,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,1273,0,1116
1629441025801,1973,HTTP Request,200,OK,Thread Group 1-23,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,16,0,2
1629441025801,16,HTTP Request-0,301,Moved Permanently,Thread Group 1-23,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,16,0,2
1629441025817,1957,HTTP Request-1,200,OK,Thread Group 1-23,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,815,0,747
1629441026180,1610,HTTP Request-1,200,OK,Thread Group 1-38,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,445,0,361
1629441026233,1565,HTTP Request,200,OK,Thread Group 1-33,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,3,0,2
1629441026233,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-33,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,3,0,2
1629441026236,1562,HTTP Request-1,200,OK,Thread Group 1-33,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,509,0,309
1629441025804,1980,HTTP Request,200,OK,Thread Group 1-21,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,14,0,12
1629441025804,14,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,text,true,,356,141,40,40,http://test.bestviewsreviews.com/categories/,14,0,12
1629441025819,1965,HTTP Request-1,200,OK,Thread Group 1-21,text,true,,644071,145,40,40,https://test.bestviewsreviews.com:443/categories/,914,0,742
1629441026219,1622,HTTP Request,200,OK,Thread Group 1-40,text,true,,644427,286,40,40,https://test.bestviewsreviews.com:443/categories/,3,0,1
