timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629444061250,2029,HTTP Request,200,OK,Thread Group 1-47,text,true,,90255,280,50,50,https://test.bestviewsreviews.com:443/contact/,6,0,2
1629444061250,6,HTTP Request-0,301,Moved Permanently,Thread Group 1-47,text,true,,353,138,50,50,http://test.bestviewsreviews.com/contact/,6,0,2
1629444061257,2022,HTTP Request-1,200,OK,Thread Group 1-47,text,true,,89902,142,50,50,https://test.bestviewsreviews.com:443/contact/,1999,0,1093
1629444060731,2555,HTTP Request,200,OK,Thread Group 1-21,text,true,,90255,280,50,50,https://test.bestviewsreviews.com:443/contact/,15,0,13
1629444060731,15,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,text,true,,353,138,50,50,http://test.bestviewsreviews.com/contact/,15,0,13
1629444060746,2540,HTTP Request-1,200,OK,Thread Group 1-21,text,true,,89902,142,50,50,https://test.bestviewsreviews.com:443/contact/,2518,0,1600
1629444060669,2620,HTTP Request,200,OK,Thread Group 1-18,text,true,,90255,280,50,50,https://test.bestviewsreviews.com:443/contact/,3,0,2
1629444060669,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,353,138,50,50,http://test.bestviewsreviews.com/contact/,3,0,2
1629444060672,2617,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,89902,142,50,50,https://test.bestviewsreviews.com:443/contact/,2598,0,1682
1629444060772,2588,HTTP Request,200,OK,Thread Group 1-23,text,true,,90255,280,50,50,https://test.bestviewsreviews.com:443/contact/,80,0,78
1629444060772,80,HTTP Request-0,301,Moved Permanently,Thread Group 1-23,text,true,,353,138,50,50,http://test.bestviewsreviews.com/contact/,80,0,78
1629444060852,2508,HTTP Request-1,200,OK,Thread Group 1-23,text,true,,89902,142,50,50,https://test.bestviewsreviews.com:443/contact/,2500,0,1504
1629444060476,2895,HTTP Request,200,OK,Thread Group 1-3,text,true,,90255,280,50,50,https://test.bestviewsreviews.com:443/contact/,41,0,31
1629444060476,52,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,353,138,50,50,http://test.bestviewsreviews.com/contact/,41,0,31
1629444060529,2842,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,89902,142,50,50,https://test.bestviewsreviews.com:443/contact/,2834,0,1822
1629444061111,2283,HTTP Request,200,OK,Thread Group 1-40,text,true,,90255,280,50,50,https://test.bestviewsreviews.com:443/contact/,4,0,3
1629444061111,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-40,text,true,,353,138,50,50,http://test.bestviewsreviews.com/contact/,4,0,3
1629444061116,2278,HTTP Request-1,200,OK,Thread Group 1-40,text,true,,89902,142,50,50,https://test.bestviewsreviews.com:443/contact/,2258,0,1226
1629444060531,2868,HTTP Request,200,OK,Thread Group 1-11,text,true,,90255,280,50,50,https://test.bestviewsreviews.com:443/contact/,3,0,2
1629444060531,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,353,138,50,50,http://test.bestviewsreviews.com/contact/,3,0,2
1629444060535,2864,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,89902,142,50,50,https://test.bestviewsreviews.com:443/contact/,2847,0,1806
1629444060869,2534,HTTP Request,200,OK,Thread Group 1-28,text,true,,90255,280,50,50,https://test.bestviewsreviews.com:443/contact/,2,0,1
1629444060869,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-28,text,true,,353,138,50,50,http://test.bestviewsreviews.com/contact/,2,0,1
1629444060872,2531,HTTP Request-1,200,OK,Thread Group 1-28,text,true,,89902,142,50,50,https://test.bestviewsreviews.com:443/contact/,2514,0,1475
1629444060929,2501,HTTP Request,200,OK,Thread Group 1-31,text,true,,90255,280,50,50,https://test.bestviewsreviews.com:443/contact/,11,0,7
1629444060929,11,HTTP Request-0,301,Moved Permanently,Thread Group 1-31,text,true,,353,138,50,50,http://test.bestviewsreviews.com/contact/,11,0,7
1629444060941,2489,HTTP Request-1,200,OK,Thread Group 1-31,text,true,,89902,142,50,50,https://test.bestviewsreviews.com:443/contact/,2486,0,1407
1629444060477,2953,HTTP Request,200,OK,Thread Group 1-8,text,true,,90255,280,50,50,https://test.bestviewsreviews.com:443/contact/,50,0,28
1629444060477,50,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,353,138,50,50,http://test.bestviewsreviews.com/contact/,50,0,28
1629444060528,2902,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,89902,142,50,50,https://test.bestviewsreviews.com:443/contact/,2900,0,1824
1629444061029,2433,HTTP Request,200,OK,Thread Group 1-36,text,true,,90255,280,50,50,https://test.bestviewsreviews.com:443/contact/,4,0,3
1629444061029,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-36,text,true,,353,138,50,50,http://test.bestviewsreviews.com/contact/,4,0,3
1629444061034,2428,HTTP Request-1,200,OK,Thread Group 1-36,text,true,,89902,142,50,50,https://test.bestviewsreviews.com:443/contact/,2426,0,1329
1629444060989,2508,HTTP Request,200,OK,Thread Group 1-34,text,true,,90255,280,50,50,https://test.bestviewsreviews.com:443/contact/,2,0,1
