timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629443238179,6433,HTTP Request,200,OK,Thread Group 1-38,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,2,0,1
1629443238179,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-38,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,2,0,1
1629443238181,6431,HTTP Request-1,200,OK,Thread Group 1-38,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,6392,0,1171
1629443237978,6800,HTTP Request,200,OK,Thread Group 1-26,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,8,0,6
1629443237978,8,HTTP Request-0,301,Moved Permanently,Thread Group 1-26,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,8,0,6
1629443237987,6791,HTTP Request-1,200,OK,Thread Group 1-26,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,6758,0,1375
1629443238473,6300,HTTP Request,200,OK,Thread Group 1-55,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,47,0,11
1629443238473,47,HTTP Request-0,301,Moved Permanently,Thread Group 1-55,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,47,0,11
1629443238521,6252,HTTP Request-1,200,OK,Thread Group 1-55,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,6211,0,812
1629443238531,6251,HTTP Request,200,OK,Thread Group 1-58,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,14,0,14
1629443238531,14,HTTP Request-0,301,Moved Permanently,Thread Group 1-58,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,14,0,14
1629443238546,6236,HTTP Request-1,200,OK,Thread Group 1-58,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,6209,0,800
1629443238282,6500,HTTP Request,200,OK,Thread Group 1-44,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,4,0,2
1629443238282,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-44,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,4,0,2
1629443238287,6495,HTTP Request-1,200,OK,Thread Group 1-44,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,6473,0,1079
1629443238366,6455,HTTP Request,200,OK,Thread Group 1-49,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,4,0,1
1629443238366,4,HTTP Request-0,301,Moved Permanently,Thread Group 1-49,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,4,0,1
1629443238370,6451,HTTP Request-1,200,OK,Thread Group 1-49,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,6434,0,973
1629443238349,6581,HTTP Request,200,OK,Thread Group 1-48,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,5,0,1
1629443238349,5,HTTP Request-0,301,Moved Permanently,Thread Group 1-48,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,5,0,1
1629443238355,6575,HTTP Request-1,200,OK,Thread Group 1-48,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,6564,0,993
1629443238451,6695,HTTP Request,200,OK,Thread Group 1-54,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,13,0,5
1629443238451,13,HTTP Request-0,301,Moved Permanently,Thread Group 1-54,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,13,0,5
1629443238465,6681,HTTP Request-1,200,OK,Thread Group 1-54,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,6669,0,889
1629443237693,7481,HTTP Request,200,OK,Thread Group 1-7,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,62,0,36
1629443237693,62,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,62,0,36
1629443237756,7418,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,7405,0,1594
1629443238573,6603,HTTP Request,200,OK,Thread Group 1-60,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,2,0,1
1629443238573,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-60,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,2,0,1
1629443238575,6601,HTTP Request-1,200,OK,Thread Group 1-60,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,6589,0,759
1629443238556,6676,HTTP Request,200,OK,Thread Group 1-59,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,2,0,1
1629443238556,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-59,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,2,0,1
1629443238558,6674,HTTP Request-1,200,OK,Thread Group 1-59,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,6663,0,777
1629443238333,6929,HTTP Request,200,OK,Thread Group 1-47,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,1,0,0
1629443238333,1,HTTP Request-0,301,Moved Permanently,Thread Group 1-47,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,1,0,0
1629443238335,6927,HTTP Request-1,200,OK,Thread Group 1-47,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,6916,0,1020
1629443238111,7194,HTTP Request,200,OK,Thread Group 1-34,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,2,0,1
1629443238111,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-34,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,2,0,1
1629443238114,7191,HTTP Request-1,200,OK,Thread Group 1-34,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,7180,0,1237
1629443237707,7650,HTTP Request,200,OK,Thread Group 1-10,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,35,0,22
1629443237707,43,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,35,0,22
1629443237750,7607,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,7588,0,1615
1629443237693,7757,HTTP Request,200,OK,Thread Group 1-4,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,59,0,36
1629443237693,59,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,59,0,36
1629443237753,7697,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,7685,0,1592
1629443238197,7273,HTTP Request,200,OK,Thread Group 1-39,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,1,0,1
1629443238197,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-39,text,true,,409,194,60,60,http://test.bestviewsreviews.com/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,1,0,1
1629443238199,7271,HTTP Request-1,200,OK,Thread Group 1-39,text,true,,383112,198,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,7260,0,1134
1629443237693,7858,HTTP Request,200,OK,Thread Group 1-9,text,true,,383521,392,60,60,https://test.bestviewsreviews.com:443/tvs/insignia-ns-32df310na19-32-inch-smart-hd-tv-fire-tv-edition/,58,0,36
