timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629441974243,8505,HTTP Request,200,OK,Thread Group 1-10,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,87,0,67
1629441974243,87,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,87,0,67
1629441974331,8417,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,8354,0,1492
1629441975042,7936,HTTP Request,200,OK,Thread Group 1-50,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,3,0,2
1629441975042,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-50,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,3,0,2
1629441975045,7933,HTTP Request-1,200,OK,Thread Group 1-50,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,7901,0,787
1629441974525,8673,HTTP Request,200,OK,Thread Group 1-24,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,3,0,1
1629441974525,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-24,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,3,0,1
1629441974528,8670,HTTP Request-1,200,OK,Thread Group 1-24,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,8646,0,1294
1629441974602,8645,HTTP Request,200,OK,Thread Group 1-28,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,3,0,2
1629441974602,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-28,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,3,0,2
1629441974605,8642,HTTP Request-1,200,OK,Thread Group 1-28,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,8621,0,1233
1629441975022,8288,HTTP Request,200,OK,Thread Group 1-49,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,3,0,2
1629441975022,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-49,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,3,0,2
1629441975025,8285,HTTP Request-1,200,OK,Thread Group 1-49,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,8259,0,791
1629441975018,8337,HTTP Request,200,OK,Thread Group 1-48,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,5,0,1
1629441975018,5,HTTP Request-0,301,Moved Permanently,Thread Group 1-48,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,5,0,1
1629441975023,8332,HTTP Request-1,200,OK,Thread Group 1-48,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,8310,0,808
1629441974728,9892,HTTP Request,200,OK,Thread Group 1-34,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629441974728,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-34,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,2,0,1
1629441974731,9889,HTTP Request-1,200,OK,Thread Group 1-34,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,9867,0,1099
1629441974843,11427,HTTP Request,200,OK,Thread Group 1-40,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,3,0,2
1629441974843,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-40,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,3,0,2
1629441974847,11423,HTTP Request-1,200,OK,Thread Group 1-40,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,11383,0,965
1629441974803,12791,HTTP Request,200,OK,Thread Group 1-38,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629441974803,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-38,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,2,0,1
1629441974806,12788,HTTP Request-1,200,OK,Thread Group 1-38,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,12724,0,1026
1629441974227,15020,HTTP Request,200,OK,Thread Group 1-1,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,112,0,84
1629441974227,112,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,112,0,84
1629441974339,14908,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,14884,0,1499
1629441974226,16181,HTTP Request,200,OK,Thread Group 1-3,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,111,0,85
1629441974226,111,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,111,0,85
1629441974337,16070,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,16047,0,1500
1629441974705,16120,HTTP Request,200,OK,Thread Group 1-33,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629441974705,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-33,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,2,0,1
1629441974707,16118,HTTP Request-1,200,OK,Thread Group 1-33,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,16097,0,1106
1629441974483,17165,HTTP Request,200,OK,Thread Group 1-22,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,3,0,2
1629441974483,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-22,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,3,0,2
1629441974486,17162,HTTP Request-1,200,OK,Thread Group 1-22,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,17140,0,1340
1629441974206,17654,HTTP Request,200,OK,Thread Group 1-8,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,123,0,104
1629441974206,123,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,123,0,104
1629441974329,17531,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,17508,0,1487
1629441974403,18802,HTTP Request,200,OK,Thread Group 1-18,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629441974403,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,2,0,1
1629441974406,18799,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,18775,0,1431
1629441974922,18772,HTTP Request,200,OK,Thread Group 1-44,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,2,0,1
1629441974922,2,HTTP Request-0,301,Moved Permanently,Thread Group 1-44,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,2,0,1
1629441974925,18769,HTTP Request-1,200,OK,Thread Group 1-44,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,18747,0,904
1629441974650,20150,HTTP Request,200,OK,Thread Group 1-27,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,13,0,3
1629441974650,13,HTTP Request-0,301,Moved Permanently,Thread Group 1-27,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,13,0,3
1629441974664,20136,HTTP Request-1,200,OK,Thread Group 1-27,text,true,,689199,138,50,50,https://test.bestviewsreviews.com:443/tvs/,20111,0,1160
1629441974662,20366,HTTP Request,200,OK,Thread Group 1-31,text,true,,689548,272,50,50,https://test.bestviewsreviews.com:443/tvs/,3,0,1
1629441974662,3,HTTP Request-0,301,Moved Permanently,Thread Group 1-31,text,true,,349,134,50,50,http://test.bestviewsreviews.com/tvs/,3,0,1
